;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
160;20210323;5485;530010.0;53;5
161;20210324;1908;530010.0;53;5
162;20210325;1052;530010.0;53;5
163;20210326;8956;530010.0;53;5
164;20210327;3305;530010.0;53;5
165;20210328;2453;530010.0;53;5
166;20210329;3637;530010.0;53;5
167;20210330;3258;530010.0;53;5
168;20210331;2151;530010.0;53;5
169;20210401;2380;530010.0;53;5
170;20210402;265;530010.0;53;5
171;20210403;1140;530010.0;53;5
172;20210404;128;530010.0;53;5
173;20210405;2666;530010.0;53;5
174;20210406;1458;530010.0;53;5
175;20210407;1094;530010.0;53;5
176;20210408;2149;530010.0;53;5
177;20210409;4070;530010.0;53;5
178;20210410;305;530010.0;53;5
179;20210411;138;530010.0;53;5
180;20210412;2250;530010.0;53;5
181;20210413;2815;530010.0;53;5
182;20210414;3240;530010.0;53;5
183;20210415;4930;530010.0;53;5
184;20210416;7962;530010.0;53;5
185;20210417;3603;530010.0;53;5
186;20210418;1402;530010.0;53;5
187;20210419;7760;530010.0;53;5
188;20210420;7001;530010.0;53;5
189;20210421;997;530010.0;53;5
190;20210422;5463;530010.0;53;5
191;20210423;11000;530010.0;53;5
192;20210424;4527;530010.0;53;5
193;20210425;1552;530010.0;53;5
194;20210426;7253;530010.0;53;5
195;20210427;4738;530010.0;53;5
196;20210428;2838;530010.0;53;5
197;20210429;1883;530010.0;53;5
198;20210430;9374;530010.0;53;5
199;20210501;2453;530010.0;53;5
200;20210502;894;530010.0;53;5
201;20210503;5924;530010.0;53;5
202;20210504;5271;530010.0;53;5
203;20210505;4252;530010.0;53;5
204;20210506;4910;530010.0;53;5
205;20210507;3941;530010.0;53;5
206;20210508;2285;530010.0;53;5
207;20210509;757;530010.0;53;5
208;20210510;3867;530010.0;53;5
209;20210511;3172;530010.0;53;5
210;20210512;1891;530010.0;53;5
211;20210513;3784;530010.0;53;5
212;20210514;3884;530010.0;53;5
213;20210515;1346;530010.0;53;5
214;20210516;654;530010.0;53;5
215;20210517;2269;530010.0;53;5
216;20210518;2469;530010.0;53;5
217;20210519;2881;530010.0;53;5
218;20210520;3288;530010.0;53;5
