,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,Cod_Data,codregiao
4968,Centro-Oeste,DF,,53,,,,2021-07-01,26,3015268.0,431151,690,9264,13,,,,20210701,5
4969,Centro-Oeste,DF,,53,,,,2021-07-02,26,3015268.0,431771,620,9276,12,,,,20210702,5
4970,Centro-Oeste,DF,,53,,,,2021-07-03,26,3015268.0,432492,721,9289,13,,,,20210703,5
4971,Centro-Oeste,DF,,53,,,,2021-07-04,27,3015268.0,433505,1013,9304,15,,,,20210704,5
4972,Centro-Oeste,DF,,53,,,,2021-07-05,27,3015268.0,434114,609,9312,8,,,,20210705,5
4973,Centro-Oeste,DF,,53,,,,2021-07-06,27,3015268.0,434708,594,9322,10,,,,20210706,5
4974,Centro-Oeste,DF,,53,,,,2021-07-07,27,3015268.0,435405,697,9331,9,,,,20210707,5
4975,Centro-Oeste,DF,,53,,,,2021-07-08,27,3015268.0,435982,577,9344,13,,,,20210708,5
4976,Centro-Oeste,DF,,53,,,,2021-07-09,27,3015268.0,436649,667,9357,13,,,,20210709,5
4977,Centro-Oeste,DF,,53,,,,2021-07-10,27,3015268.0,437248,599,9370,13,,,,20210710,5
4978,Centro-Oeste,DF,,53,,,,2021-07-11,28,3015268.0,437726,478,9379,9,,,,20210711,5
4979,Centro-Oeste,DF,,53,,,,2021-07-12,28,3015268.0,438446,720,9389,10,,,,20210712,5
4980,Centro-Oeste,DF,,53,,,,2021-07-13,28,3015268.0,438865,419,9407,18,,,,20210713,5
4981,Centro-Oeste,DF,,53,,,,2021-07-14,28,3015268.0,439528,663,9420,13,,,,20210714,5
4982,Centro-Oeste,DF,,53,,,,2021-07-15,28,3015268.0,439981,453,9434,14,,,,20210715,5
4983,Centro-Oeste,DF,,53,,,,2021-07-16,28,3015268.0,440734,753,9455,21,,,,20210716,5
4984,Centro-Oeste,DF,,53,,,,2021-07-17,28,3015268.0,441251,517,9467,12,,,,20210717,5
4985,Centro-Oeste,DF,,53,,,,2021-07-18,29,3015268.0,441749,498,9479,12,,,,20210718,5
4986,Centro-Oeste,DF,,53,,,,2021-07-19,29,3015268.0,442223,474,9491,12,,,,20210719,5
4987,Centro-Oeste,DF,,53,,,,2021-07-20,29,3015268.0,442703,480,9501,10,,,,20210720,5
4988,Centro-Oeste,DF,,53,,,,2021-07-21,29,3015268.0,443280,577,9509,8,,,,20210721,5
4989,Centro-Oeste,DF,,53,,,,2021-07-22,29,3015268.0,443797,517,9526,17,,,,20210722,5
4990,Centro-Oeste,DF,,53,,,,2021-07-23,29,3015268.0,444665,868,9538,12,,,,20210723,5
4991,Centro-Oeste,DF,,53,,,,2021-07-24,29,3015268.0,445424,759,9548,10,,,,20210724,5
4992,Centro-Oeste,DF,,53,,,,2021-07-25,30,3015268.0,446136,712,9557,9,,,,20210725,5
4993,Centro-Oeste,DF,,53,,,,2021-07-26,30,3015268.0,446772,636,9567,10,,,,20210726,5
4994,Centro-Oeste,DF,,53,,,,2021-07-27,30,3015268.0,447354,582,9578,11,,,,20210727,5
4995,Centro-Oeste,DF,,53,,,,2021-07-28,30,3015268.0,447990,636,9593,15,,,,20210728,5
4996,Centro-Oeste,DF,,53,,,,2021-07-29,30,3015268.0,448666,676,9599,6,,,,20210729,5
4997,Centro-Oeste,DF,,53,,,,2021-07-30,30,3015268.0,449404,738,9610,11,,,,20210730,5
4998,Centro-Oeste,DF,,53,,,,2021-07-31,30,3015268.0,450166,762,9620,10,,,,20210731,5
4999,Centro-Oeste,DF,,53,,,,2021-08-01,31,3015268.0,450865,699,9630,10,,,,20210801,5
5000,Centro-Oeste,DF,,53,,,,2021-08-02,31,3015268.0,451570,705,9644,14,,,,20210802,5
5001,Centro-Oeste,DF,,53,,,,2021-08-03,31,3015268.0,451894,324,9661,17,,,,20210803,5
5002,Centro-Oeste,DF,,53,,,,2021-08-04,31,3015268.0,452527,633,9677,16,,,,20210804,5
5003,Centro-Oeste,DF,,53,,,,2021-08-05,31,3015268.0,453192,665,9689,12,,,,20210805,5
5004,Centro-Oeste,DF,,53,,,,2021-08-06,31,3015268.0,454184,992,9703,14,,,,20210806,5
5005,Centro-Oeste,DF,,53,,,,2021-08-07,31,3015268.0,454767,583,9716,13,,,,20210807,5
