,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,Cod_Data,codregiao
4131,Centro-Oeste,DF,,53,,,,2020-08-01,31,3015268.0,107922,1630,1490,21,,,,20200801,5
4132,Centro-Oeste,DF,,53,,,,2020-08-02,32,3015268.0,110028,2106,1523,33,,,,20200802,5
4133,Centro-Oeste,DF,,53,,,,2020-08-03,32,3015268.0,112044,2016,1546,23,,,,20200803,5
4134,Centro-Oeste,DF,,53,,,,2020-08-04,32,3015268.0,113924,1880,1572,26,,,,20200804,5
4135,Centro-Oeste,DF,,53,,,,2020-08-05,32,3015268.0,115966,2042,1572,0,,,,20200805,5
4136,Centro-Oeste,DF,,53,,,,2020-08-06,32,3015268.0,118000,2034,1651,79,,,,20200806,5
4137,Centro-Oeste,DF,,53,,,,2020-08-07,32,3015268.0,119903,1903,1682,31,,,,20200807,5
4138,Centro-Oeste,DF,,53,,,,2020-08-08,32,3015268.0,121824,1921,1712,30,,,,20200808,5
4139,Centro-Oeste,DF,,53,,,,2020-08-09,33,3015268.0,123057,1233,1731,19,,,,20200809,5
4140,Centro-Oeste,DF,,53,,,,2020-08-10,33,3015268.0,126069,3012,1762,31,,,,20200810,5
4141,Centro-Oeste,DF,,53,,,,2020-08-11,33,3015268.0,127484,1415,1815,53,,,,20200811,5
4142,Centro-Oeste,DF,,53,,,,2020-08-12,33,3015268.0,129184,1700,1870,55,,,,20200812,5
4143,Centro-Oeste,DF,,53,,,,2020-08-13,33,3015268.0,131170,1986,1905,35,,,,20200813,5
4144,Centro-Oeste,DF,,53,,,,2020-08-14,33,3015268.0,133166,1996,1935,30,,,,20200814,5
4145,Centro-Oeste,DF,,53,,,,2020-08-15,33,3015268.0,135014,1848,1958,23,,,,20200815,5
4146,Centro-Oeste,DF,,53,,,,2020-08-16,34,3015268.0,136467,1453,1976,18,,,,20200816,5
4147,Centro-Oeste,DF,,53,,,,2020-08-17,34,3015268.0,138735,2268,2042,66,,,,20200817,5
4148,Centro-Oeste,DF,,53,,,,2020-08-18,34,3015268.0,140170,1435,2097,55,,,,20200818,5
4149,Centro-Oeste,DF,,53,,,,2020-08-19,34,3015268.0,141762,1592,2148,51,,,,20200819,5
4150,Centro-Oeste,DF,,53,,,,2020-08-20,34,3015268.0,143759,1997,2200,52,,,,20200820,5
4151,Centro-Oeste,DF,,53,,,,2020-08-21,34,3015268.0,145452,1693,2242,42,,,,20200821,5
4152,Centro-Oeste,DF,,53,,,,2020-08-22,34,3015268.0,147127,1675,2257,15,,,,20200822,5
4153,Centro-Oeste,DF,,53,,,,2020-08-23,35,3015268.0,148998,1871,2274,17,,,,20200823,5
4154,Centro-Oeste,DF,,53,,,,2020-08-24,35,3015268.0,150519,1521,2316,42,,,,20200824,5
4155,Centro-Oeste,DF,,53,,,,2020-08-25,35,3015268.0,153690,3171,2344,28,,,,20200825,5
4156,Centro-Oeste,DF,,53,,,,2020-08-26,35,3015268.0,155253,1563,2399,55,,,,20200826,5
4157,Centro-Oeste,DF,,53,,,,2020-08-27,35,3015268.0,156863,1610,2425,26,,,,20200827,5
4158,Centro-Oeste,DF,,53,,,,2020-08-28,35,3015268.0,158180,1317,2440,15,,,,20200828,5
4159,Centro-Oeste,DF,,53,,,,2020-08-29,35,3015268.0,159526,1346,2450,10,,,,20200829,5
4160,Centro-Oeste,DF,,53,,,,2020-08-30,36,3015268.0,160796,1270,2469,19,,,,20200830,5
4161,Centro-Oeste,DF,,53,,,,2020-08-31,36,3015268.0,162042,1246,2521,52,,,,20200831,5
4162,Centro-Oeste,DF,,53,,,,2020-09-01,36,3015268.0,163498,1456,2573,52,,,,20200901,5
4163,Centro-Oeste,DF,,53,,,,2020-09-02,36,3015268.0,164649,1151,2609,36,,,,20200902,5
4164,Centro-Oeste,DF,,53,,,,2020-09-03,36,3015268.0,165903,1254,2641,32,,,,20200903,5
4165,Centro-Oeste,DF,,53,,,,2020-09-04,36,3015268.0,167200,1297,2681,40,,,,20200904,5
4166,Centro-Oeste,DF,,53,,,,2020-09-05,36,3015268.0,168605,1405,2700,19,,,,20200905,5
4167,Centro-Oeste,DF,,53,,,,2020-09-06,37,3015268.0,169617,1012,2710,10,,,,20200906,5
4168,Centro-Oeste,DF,,53,,,,2020-09-07,37,3015268.0,170806,1189,2720,10,,,,20200907,5
4169,Centro-Oeste,DF,,53,,,,2020-09-08,37,3015268.0,171739,933,2763,43,,,,20200908,5
4170,Centro-Oeste,DF,,53,,,,2020-09-09,37,3015268.0,172708,969,2813,50,,,,20200909,5
4171,Centro-Oeste,DF,,53,,,,2020-09-10,37,3015268.0,173631,923,2843,30,,,,20200910,5
4172,Centro-Oeste,DF,,53,,,,2020-09-11,37,3015268.0,174549,918,2867,24,,,,20200911,5
4173,Centro-Oeste,DF,,53,,,,2020-09-12,37,3015268.0,175646,1097,2883,16,,,,20200912,5
4174,Centro-Oeste,DF,,53,,,,2020-09-13,38,3015268.0,176837,1191,2899,16,,,,20200913,5
4175,Centro-Oeste,DF,,53,,,,2020-09-14,38,3015268.0,177921,1084,2930,31,,,,20200914,5
4176,Centro-Oeste,DF,,53,,,,2020-09-15,38,3015268.0,178747,826,2970,40,,,,20200915,5
4177,Centro-Oeste,DF,,53,,,,2020-09-16,38,3015268.0,179823,1076,3000,30,,,,20200916,5
4178,Centro-Oeste,DF,,53,,,,2020-09-17,38,3015268.0,180844,1021,3022,22,,,,20200917,5
4179,Centro-Oeste,DF,,53,,,,2020-09-18,38,3015268.0,181919,1075,3037,15,,,,20200918,5
4180,Centro-Oeste,DF,,53,,,,2020-09-19,38,3015268.0,183096,1177,3048,11,,,,20200919,5
4181,Centro-Oeste,DF,,53,,,,2020-09-20,39,3015268.0,183749,653,3062,14,,,,20200920,5
4182,Centro-Oeste,DF,,53,,,,2020-09-21,39,3015268.0,184555,806,3097,35,,,,20200921,5
4183,Centro-Oeste,DF,,53,,,,2020-09-22,39,3015268.0,185349,794,3131,34,,,,20200922,5
4184,Centro-Oeste,DF,,53,,,,2020-09-23,39,3015268.0,186052,703,3148,17,,,,20200923,5
4185,Centro-Oeste,DF,,53,,,,2020-09-24,39,3015268.0,186945,893,3164,16,,,,20200924,5
4186,Centro-Oeste,DF,,53,,,,2020-09-25,39,3015268.0,187895,950,3175,11,,,,20200925,5
4187,Centro-Oeste,DF,,53,,,,2020-09-26,39,3015268.0,188608,713,3183,8,,,,20200926,5
4188,Centro-Oeste,DF,,53,,,,2020-09-27,40,3015268.0,189513,905,3188,5,,,,20200927,5
4189,Centro-Oeste,DF,,53,,,,2020-09-28,40,3015268.0,190505,992,3203,15,,,,20200928,5
4190,Centro-Oeste,DF,,53,,,,2020-09-29,40,3015268.0,191317,812,3224,21,,,,20200929,5
4191,Centro-Oeste,DF,,53,,,,2020-09-30,40,3015268.0,192245,928,3255,31,,,,20200930,5
4192,Centro-Oeste,DF,,53,,,,2020-10-01,40,3015268.0,193127,882,3276,21,,,,20201001,5
4193,Centro-Oeste,DF,,53,,,,2020-10-02,40,3015268.0,194042,915,3291,15,,,,20201002,5
4194,Centro-Oeste,DF,,53,,,,2020-10-03,40,3015268.0,194783,741,3309,18,,,,20201003,5
4195,Centro-Oeste,DF,,53,,,,2020-10-04,41,3015268.0,195413,630,3325,16,,,,20201004,5
4196,Centro-Oeste,DF,,53,,,,2020-10-05,41,3015268.0,195967,554,3346,21,,,,20201005,5
4197,Centro-Oeste,DF,,53,,,,2020-10-06,41,3015268.0,196787,820,3364,18,,,,20201006,5
4198,Centro-Oeste,DF,,53,,,,2020-10-07,41,3015268.0,197369,582,3378,14,,,,20201007,5
4199,Centro-Oeste,DF,,53,,,,2020-10-08,41,3015268.0,198192,823,3391,13,,,,20201008,5
4200,Centro-Oeste,DF,,53,,,,2020-10-09,41,3015268.0,198807,615,3398,7,,,,20201009,5
4201,Centro-Oeste,DF,,53,,,,2020-10-10,41,3015268.0,199569,762,3412,14,,,,20201010,5
4202,Centro-Oeste,DF,,53,,,,2020-10-11,42,3015268.0,200035,466,3424,12,,,,20201011,5
4203,Centro-Oeste,DF,,53,,,,2020-10-12,42,3015268.0,200412,377,3439,15,,,,20201012,5
4204,Centro-Oeste,DF,,53,,,,2020-10-13,42,3015268.0,201230,818,3466,27,,,,20201013,5
4205,Centro-Oeste,DF,,53,,,,2020-10-14,42,3015268.0,202058,828,3488,22,,,,20201014,5
4206,Centro-Oeste,DF,,53,,,,2020-10-15,42,3015268.0,202786,728,3499,11,,,,20201015,5
4207,Centro-Oeste,DF,,53,,,,2020-10-16,42,3015268.0,203576,790,3526,27,,,,20201016,5
4208,Centro-Oeste,DF,,53,,,,2020-10-17,42,3015268.0,204304,728,3539,13,,,,20201017,5
4209,Centro-Oeste,DF,,53,,,,2020-10-18,43,3015268.0,204957,653,3545,6,,,,20201018,5
4210,Centro-Oeste,DF,,53,,,,2020-10-19,43,3015268.0,205709,752,3561,16,,,,20201019,5
4211,Centro-Oeste,DF,,53,,,,2020-10-20,43,3015268.0,206265,556,3575,14,,,,20201020,5
4212,Centro-Oeste,DF,,53,,,,2020-10-21,43,3015268.0,207080,815,3587,12,,,,20201021,5
4213,Centro-Oeste,DF,,53,,,,2020-10-22,43,3015268.0,207670,590,3600,13,,,,20201022,5
4214,Centro-Oeste,DF,,53,,,,2020-10-23,43,3015268.0,208235,565,3613,13,,,,20201023,5
4215,Centro-Oeste,DF,,53,,,,2020-10-24,43,3015268.0,208761,526,3623,10,,,,20201024,5
4216,Centro-Oeste,DF,,53,,,,2020-10-25,44,3015268.0,209369,608,3633,10,,,,20201025,5
4217,Centro-Oeste,DF,,53,,,,2020-10-26,44,3015268.0,210145,776,3641,8,,,,20201026,5
4218,Centro-Oeste,DF,,53,,,,2020-10-27,44,3015268.0,210774,629,3653,12,,,,20201027,5
4219,Centro-Oeste,DF,,53,,,,2020-10-28,44,3015268.0,211442,668,3661,8,,,,20201028,5
4220,Centro-Oeste,DF,,53,,,,2020-10-29,44,3015268.0,212140,698,3670,9,,,,20201029,5
4221,Centro-Oeste,DF,,53,,,,2020-10-30,44,3015268.0,212762,622,3676,6,,,,20201030,5
4222,Centro-Oeste,DF,,53,,,,2020-10-31,44,3015268.0,213245,483,3683,7,,,,20201031,5
4223,Centro-Oeste,DF,,53,,,,2020-11-01,45,3015268.0,213456,211,3688,5,,,,20201101,5
4224,Centro-Oeste,DF,,53,,,,2020-11-02,45,3015268.0,213636,180,3695,7,,,,20201102,5
4225,Centro-Oeste,DF,,53,,,,2020-11-03,45,3015268.0,214202,566,3707,12,,,,20201103,5
4226,Centro-Oeste,DF,,53,,,,2020-11-04,45,3015268.0,214655,453,3719,12,,,,20201104,5
4227,Centro-Oeste,DF,,53,,,,2020-11-05,45,3015268.0,214955,300,3728,9,,,,20201105,5
4228,Centro-Oeste,DF,,53,,,,2020-11-06,45,3015268.0,215426,471,3733,5,,,,20201106,5
4229,Centro-Oeste,DF,,53,,,,2020-11-07,45,3015268.0,215850,424,3740,7,,,,20201107,5
4230,Centro-Oeste,DF,,53,,,,2020-11-08,46,3015268.0,216389,539,3752,12,,,,20201108,5
4231,Centro-Oeste,DF,,53,,,,2020-11-09,46,3015268.0,216861,472,3759,7,,,,20201109,5
4232,Centro-Oeste,DF,,53,,,,2020-11-10,46,3015268.0,217370,509,3775,16,,,,20201110,5
4233,Centro-Oeste,DF,,53,,,,2020-11-11,46,3015268.0,217793,423,3788,13,,,,20201111,5
4234,Centro-Oeste,DF,,53,,,,2020-11-12,46,3015268.0,218479,686,3797,9,,,,20201112,5
4235,Centro-Oeste,DF,,53,,,,2020-11-13,46,3015268.0,219012,533,3808,11,,,,20201113,5
4236,Centro-Oeste,DF,,53,,,,2020-11-14,46,3015268.0,219712,700,3813,5,,,,20201114,5
4237,Centro-Oeste,DF,,53,,,,2020-11-15,47,3015268.0,219992,280,3817,4,,,,20201115,5
4238,Centro-Oeste,DF,,53,,,,2020-11-16,47,3015268.0,220403,411,3825,8,,,,20201116,5
4239,Centro-Oeste,DF,,53,,,,2020-11-17,47,3015268.0,221031,628,3837,12,,,,20201117,5
4240,Centro-Oeste,DF,,53,,,,2020-11-18,47,3015268.0,221526,495,3845,8,,,,20201118,5
4241,Centro-Oeste,DF,,53,,,,2020-11-19,47,3015268.0,222282,756,3852,7,,,,20201119,5
4242,Centro-Oeste,DF,,53,,,,2020-11-20,47,3015268.0,222836,554,3857,5,,,,20201120,5
4243,Centro-Oeste,DF,,53,,,,2020-11-21,47,3015268.0,223378,542,3862,5,,,,20201121,5
4244,Centro-Oeste,DF,,53,,,,2020-11-22,48,3015268.0,223658,280,3867,5,,,,20201122,5
4245,Centro-Oeste,DF,,53,,,,2020-11-23,48,3015268.0,224517,859,3882,15,,,,20201123,5
4246,Centro-Oeste,DF,,53,,,,2020-11-24,48,3015268.0,225013,496,3898,16,,,,20201124,5
4247,Centro-Oeste,DF,,53,,,,2020-11-25,48,3015268.0,225873,860,3906,8,,,,20201125,5
4248,Centro-Oeste,DF,,53,,,,2020-11-26,48,3015268.0,226697,824,3910,4,,,,20201126,5
4249,Centro-Oeste,DF,,53,,,,2020-11-27,48,3015268.0,227581,884,3915,5,,,,20201127,5
4250,Centro-Oeste,DF,,53,,,,2020-11-28,48,3015268.0,228075,494,3920,5,,,,20201128,5
4251,Centro-Oeste,DF,,53,,,,2020-11-29,49,3015268.0,228702,627,3925,5,,,,20201129,5
4252,Centro-Oeste,DF,,53,,,,2020-11-30,49,3015268.0,229146,444,3930,5,,,,20201130,5
4253,Centro-Oeste,DF,,53,,,,2020-12-01,49,3015268.0,230122,976,3939,9,,,,20201201,5
4254,Centro-Oeste,DF,,53,,,,2020-12-02,49,3015268.0,230905,783,3955,16,,,,20201202,5
4255,Centro-Oeste,DF,,53,,,,2020-12-03,49,3015268.0,231426,521,3962,7,,,,20201203,5
4256,Centro-Oeste,DF,,53,,,,2020-12-04,49,3015268.0,232781,1355,3968,6,,,,20201204,5
4257,Centro-Oeste,DF,,53,,,,2020-12-05,49,3015268.0,233376,595,3978,10,,,,20201205,5
4258,Centro-Oeste,DF,,53,,,,2020-12-06,50,3015268.0,233731,355,3985,7,,,,20201206,5
4259,Centro-Oeste,DF,,53,,,,2020-12-07,50,3015268.0,234376,645,4001,16,,,,20201207,5
4260,Centro-Oeste,DF,,53,,,,2020-12-08,50,3015268.0,235480,1104,4011,10,,,,20201208,5
4261,Centro-Oeste,DF,,53,,,,2020-12-09,50,3015268.0,236322,842,4032,21,,,,20201209,5
4262,Centro-Oeste,DF,,53,,,,2020-12-10,50,3015268.0,237114,792,4043,11,,,,20201210,5
4263,Centro-Oeste,DF,,53,,,,2020-12-11,50,3015268.0,237945,831,4051,8,,,,20201211,5
4264,Centro-Oeste,DF,,53,,,,2020-12-12,50,3015268.0,238634,689,4059,8,,,,20201212,5
4265,Centro-Oeste,DF,,53,,,,2020-12-13,51,3015268.0,239096,462,4066,7,,,,20201213,5
4266,Centro-Oeste,DF,,53,,,,2020-12-14,51,3015268.0,240132,1036,4086,20,,,,20201214,5
4267,Centro-Oeste,DF,,53,,,,2020-12-15,51,3015268.0,240869,737,4095,9,,,,20201215,5
4268,Centro-Oeste,DF,,53,,,,2020-12-16,51,3015268.0,241400,531,4107,12,,,,20201216,5
4269,Centro-Oeste,DF,,53,,,,2020-12-17,51,3015268.0,242299,899,4123,16,,,,20201217,5
4270,Centro-Oeste,DF,,53,,,,2020-12-18,51,3015268.0,243212,913,4132,9,,,,20201218,5
4271,Centro-Oeste,DF,,53,,,,2020-12-19,51,3015268.0,243834,622,4138,6,,,,20201219,5
4272,Centro-Oeste,DF,,53,,,,2020-12-20,52,3015268.0,244243,409,4145,7,,,,20201220,5
4273,Centro-Oeste,DF,,53,,,,2020-12-21,52,3015268.0,245243,1000,4156,11,,,,20201221,5
4274,Centro-Oeste,DF,,53,,,,2020-12-22,52,3015268.0,245872,629,4169,13,,,,20201222,5
4275,Centro-Oeste,DF,,53,,,,2020-12-23,52,3015268.0,246397,525,4181,12,,,,20201223,5
4276,Centro-Oeste,DF,,53,,,,2020-12-24,52,3015268.0,246949,552,4188,7,,,,20201224,5
4277,Centro-Oeste,DF,,53,,,,2020-12-25,52,3015268.0,247278,329,4192,4,,,,20201225,5
4278,Centro-Oeste,DF,,53,,,,2020-12-26,52,3015268.0,247928,650,4198,6,,,,20201226,5
4279,Centro-Oeste,DF,,53,,,,2020-12-27,53,3015268.0,248543,615,4201,3,,,,20201227,5
4280,Centro-Oeste,DF,,53,,,,2020-12-28,53,3015268.0,249736,1193,4223,22,,,,20201228,5
4281,Centro-Oeste,DF,,53,,,,2020-12-29,53,3015268.0,250457,721,4241,18,,,,20201229,5
4282,Centro-Oeste,DF,,53,,,,2020-12-30,53,3015268.0,251135,678,4248,7,,,,20201230,5
4283,Centro-Oeste,DF,,53,,,,2020-12-31,53,3015268.0,251701,566,4259,11,,,,20201231,5
859554,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-08-01,31,3015268.0,107922,1630,1490,21,,,1.0,20200801,5
859555,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-08-02,32,3015268.0,110028,2106,1523,33,,,1.0,20200802,5
